record_ID,units_sold
212645,17.0
212646,20.0
212647,31.0
212648,29.0
212649,20.0
212653,25.0
212654,51.0
212657,17.0
212658,10.0
212661,180.0
212662,88.0
212663,51.0
212666,73.0
212667,87.0
212668,110.0
212671,43.0
212672,103.0
212673,72.0
212674,413.0
212675,20.0
212676,11.0
212677,85.0
212678,60.0
212679,35.0
212681,43.0
212682,90.0
212683,23.0
212686,82.0
212687,83.0
212688,25.0
212689,4.0
212691,24.0
212692,53.0
212693,32.0
212694,39.0
212695,40.0
212696,41.0
212697,88.0
212698,33.0
212699,162.0
212700,20.0
212701,16.0
212702,43.0
212703,53.0
212704,29.0
212705,26.0
212706,34.0
212707,40.0
212709,6.0
212710,15.0
212711,39.0
212712,38.0
212713,26.0
212716,24.0
212717,31.0
212718,20.0
212719,31.0
212721,74.0
212722,27.0
212723,133.0
212724,13.0
212725,9.0
212727,33.0
212728,63.0
212729,32.0
212731,34.0
212732,38.0
212734,5.0
212735,6.0
212736,12.0
212737,262.0
212738,223.0
212739,71.0
212740,19.0
212742,81.0
212743,107.0
212744,193.0
212748,232.0
212749,93.0
212750,568.0
212751,41.0
212752,24.0
212754,113.0
212755,94.0
212756,98.0
212757,43.0
212758,72.0
212759,123.0
212760,10.0
212761,79.0
212763,13.0
212764,93.0
212765,91.0
212767,48.0
212768,51.0
212769,58.0
212772,35.0
212773,59.0
212774,35.0
212775,203.0
212776,11.0
212777,8.0
212778,57.0
212779,36.0
212782,48.0
212783,66.0
212787,191.0
212788,107.0
212789,67.0
212790,18.0
212792,88.0
212793,98.0
212794,121.0
212796,141.0
212797,179.0
212798,481.0
212799,26.0
212800,13.0
212802,97.0
212803,73.0
212805,45.0
212806,69.0
212807,109.0
212809,34.0
212812,40.0
212816,16.0
212817,28.0
212818,36.0
212819,23.0
212820,26.0
212821,35.0
212822,56.0
212823,23.0
212824,132.0
212825,14.0
212826,10.0
212828,42.0
212829,54.0
212830,28.0
212831,28.0
212832,34.0
212833,37.0
212834,28.0
212835,28.0
212837,9.0
212838,21.0
212839,27.0
212840,22.0
212843,48.0
212844,17.0
212845,81.0
212846,10.0
212849,67.0
212850,23.0
212853,26.0
212856,38.0
212857,22.0
212860,12.0
212861,43.0
212862,48.0
212863,11.0
212866,99.0
212867,44.0
212868,248.0
212869,26.0
212870,28.0
212872,41.0
212873,72.0
212874,27.0
212875,30.0
212876,36.0
